gene_symbol	geneid	ensemblid	geneNcbiType	geneDSI	geneDPI	genepLI	uniprotids	protein_classid	protein_class_name	disease_name	diseaseType	diseaseUMLSCUI	diseaseClasses_MSH	diseaseClasses_UMLS_ST	diseaseClasses_DO	diseaseClasses_HPO	numCTsupportingAssociation	numPMIDs	chemicalsIncludedInEvidence	score	yearInitial	yearFinal	evidence_level	evidence_index	diseaseid
GP1BA	2811	ENSG00000185245	protein-coding	0.506	0.87	0.09978	P07359|L7UYB8	DTO_05007575	Receptor	PSEUDO-VON WILLEBRAND DISEASE	disease	C1280798	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	25		1	1991	2021		0.948717948717949	C1280798
ADA	100	ENSG00000196839	protein-coding	0.402	0.913	9.3522e-15	F5GWI4|A0A0S2Z381|P00813	DTO_05007624	Enzyme	Combined Immunodeficiencies, Severe	disease	C0085110	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Immune System Diseases (C20)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the immune system (02715)	5	52		1	1985	2022		0.959302325581395	C0085110
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	Q504U8|B7Z2I3|E7BSV0|C9JYS6|P00533|F2YGG7	DTO_03300101	Kinase	Colorectal Neoplasm	disease	C0009404	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	33	4		1	2007	2012		0.9244126659857	C0009404
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	E7BSV0|Q504U8|C9JYS6|B7Z2I3|P00533|F2YGG7	DTO_03300101	Kinase	Lung Neoplasm	disease	C0024121	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the respiratory system (02086)|Neoplasm (02664)	203	7		1	2008	2017		0.940609332819128	C0024121
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	H2EHT1|K7PPA8|A0A087X1Q1|A0A087WXZ1|P04637|A0A087WT22|Q53GA5	DTO_05007542	Transcription factor	Breast Neoplasms	disease	C1458155	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the breast (00769)	11	27		1	1998	2019		0.901182432432432	C1458155
TNFSF11	8600	ENSG00000120659	protein-coding	0.401	0.913	0.65867	Q5T9Y4|O14788|Q54A98	DTO_05007599	Signaling	Osteoporoses	disease	C0029456	Nutritional and Metabolic Diseases (C18)|Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)	18	1		1	2007	2007		0.946428571428571	C0029456
FANCG	2189	ENSG00000221829	protein-coding	0.522	0.87	1.4532e-20	O15287|Q53XM5			Fanconi Anemia	disease	C0015625	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)	physical disorder (0080015)|disease of anatomical entity (7)		0	59		1	1975	2022		0.975308641975309	C0015625
ESR1	2099	ENSG00000091831	protein-coding	0.297	0.957	0.99791	A0A125SXW3|H0Y4W6|P03372|Q9UBT1|A8KAF4|G4XH65	DTO_00102000	Nuclear receptor	Osteoporoses	disease	C0029456	Nutritional and Metabolic Diseases (C18)|Musculoskeletal Diseases (C05)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the musculoskeletal system (33127)	2	0		1				0.894230769230769	C0029456
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WXZ1|Q53GA5|K7PPA8|A0A087X1Q1|H2EHT1|A0A087WT22|P04637	DTO_05007542	Transcription factor	Li Fraumeni Syndrome	disease	C0085390	Neoplasms (C04)|Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)	Disease or Syndrome (T047)	genetic disease (630)|syndrome (225)		4	873		1	1965	2023		0.97126969416126	C0085390
ESR1	2099	ENSG00000091831	protein-coding	0.297	0.957	0.99791	A8KAF4|Q9UBT1|H0Y4W6|P03372|A0A125SXW3|G4XH65	DTO_00102000	Nuclear receptor	Endometrioses	disease	C0014175	Urogenital Diseases (C12)	Disease or Syndrome (T047)	disease of anatomical entity (7)	Abnormality of the genitourinary system (00119)	2	0		1				0.898305084745763	C0014175
FANCA	2175	ENSG00000187741	protein-coding	0.49	0.87	1.4826e-87	O15360			Fanconi Anemia	disease	C0015625	Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)	physical disorder (0080015)|disease of anatomical entity (7)		2	203		1	1975	2023		0.96875	C0015625
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	P00533|F2YGG7|E7BSV0|Q504U8|B7Z2I3|C9JYS6	DTO_03300101	Kinase	Squamous cell carcinoma of esophagus	disease	C0279626	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)		2	2		1	2012	2014		0.953333333333333	C0279626
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	Q504U8|B7Z2I3|E7BSV0|C9JYS6|P00533|F2YGG7	DTO_03300101	Kinase	Glioblastoma	disease	C0017636	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)		22	4		1	2009	2016		0.916867469879518	C0017636
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Breast Neoplasms	disease	C1458155	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the breast (00769)	6	1		1	2012	2012		0.943977591036415	C1458155
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087WT22|H2EHT1|A0A087X1Q1|K7PPA8|A0A087WXZ1|Q53GA5	DTO_05007542	Transcription factor	Lymphomas	disease	C0024299	Immune System Diseases (C20)|Hemic and Lymphatic Diseases (C15)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of blood and blood-forming tissues (01871)|Neoplasm (02664)	5	1		1	2009	2009		0.868263473053892	C0024299
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			Thromboses	phenotype	C0040053	Cardiovascular Diseases (C14)	Pathologic Function (T046)	disease of anatomical entity (7)		40	4		1	1992	2007		0.832167832167832	C0040053
ARG1	383	ENSG00000118520	protein-coding	0.464	0.957	0.0002335	P05089	DTO_05007624	Enzyme	Hyperargininemia	disease	C0268548	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nutritional and Metabolic Diseases (C18)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of metabolism (0014667)|genetic disease (630)		0	51		1	1944	2022		0.986111111111111	C0268548
F2	2147	ENSG00000180210	protein-coding	0.333	0.957		P00734			hypoprothrombinemia	disease	C0272317	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Hemic and Lymphatic Diseases (C15)	Disease or Syndrome (T047)	genetic disease (630)|disease of anatomical entity (7)		0	24		1	1962	2014	Definitive	0.924528301886792	C0272317
PRNP	5621	ENSG00000171867	protein-coding	0.402	0.957	0.00032079	F7VJQ1|Q53YK7|P04156			Insomnia, Fatal Familial	disease	C0206042	Infections (C01)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)|disease by infectious agent (0050117)		1	35		1	1989	2014		0.986666666666667	C0206042
ESR1	2099	ENSG00000091831	protein-coding	0.297	0.957	0.99791	A0A125SXW3|H0Y4W6|Q9UBT1|P03372|A8KAF4|G4XH65	DTO_00102000	Nuclear receptor	Breast Neoplasms	disease	C1458155	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the breast (00769)	112	27		1	2007	2016		0.911874832843006	C1458155
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	B7Z2I3|C9JYS6|E7BSV0|F2YGG7|Q504U8|P00533	DTO_03300101	Kinase	Lung adenocarcinoma	disease	C0152013	Neoplasms (C04)	Neoplastic Process (T191)	disease of anatomical entity (7)|disease of cellular proliferation (14566)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	10	14		1	2005	2018		0.930404523705959	C0152013
PRNP	5621	ENSG00000171867	protein-coding	0.402	0.957	0.00032079	P04156|F7VJQ1|Q53YK7			Gerstmann Straussler Scheinker Disease	disease	C0017495	Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Infections (C01)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	disease of anatomical entity (7)|disease by infectious agent (0050117)		0	60		1	1989	2021		0.971428571428571	C0017495
PFKM	5213	ENSG00000152556	protein-coding	0.579	0.826	9.5635e-10	A0A2R8Y891|A0A024R0Y5|P08237	DTO_03300101	Kinase	Deficiencies, Muscle Phosphofructokinase	disease	C0017926	Musculoskeletal Diseases (C05)|Nutritional and Metabolic Diseases (C18)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Nervous System Diseases (C10)	Disease or Syndrome (T047)	genetic disease (630)|disease of metabolism (0014667)		0	30		1	1965	2017		0.974358974358974	C0017926
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	E7BSV0|C9JYS6|F2YGG7|Q504U8|P00533|B7Z2I3	DTO_03300101	Kinase	Neoplasm, Pancreatic	disease	C0030297	Endocrine System Diseases (C19)|Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	15	1		1	2016	2016		0.942942942942943	C0030297
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087WT22|H2EHT1|A0A087X1Q1|K7PPA8|A0A087WXZ1|Q53GA5	DTO_05007542	Transcription factor	Malignant neoplasm of stomach	disease	C0024623	Neoplasms (C04)|Digestive System Diseases (C06)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	0	3		1	2011	2023		0.911290322580645	C0024623
FH	2271	ENSG00000091483	protein-coding	0.489	0.87		A0A0S2Z4C3|P07954			HLRCC	disease	C1708350	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)|Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)|Urogenital Diseases (C12)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the integument (01574)	0	16		1	2002	2018		0.990291262135922	C1708350
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	A0A087WT22|Q53GA5|P04637|A0A087WXZ1|K7PPA8|A0A087X1Q1|H2EHT1	DTO_05007542	Transcription factor	Neoplasm, Prostatic	disease	C0033578	Neoplasms (C04)|Urogenital Diseases (C12)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the genitourinary system (00119)	12	8		1	2006	2018		0.907488986784141	C0033578
MMP2	4313	ENSG00000087245	protein-coding	0.317	0.913	6.2654e-05	P08253	DTO_05007624	Enzyme	Breast Neoplasms	disease	C1458155	Skin and Connective Tissue Diseases (C17)|Neoplasms (C04)	Neoplastic Process (T191)		Neoplasm (02664)|Abnormality of the breast (00769)	4	2		1	2008	2008		0.968421052631579	C1458155
TP53	7157	ENSG00000141510	protein-coding	0.256	0.957	0.99795	P04637|A0A087WXZ1|A0A087X1Q1|A0A087WT22|Q53GA5|K7PPA8|H2EHT1	DTO_05007542	Transcription factor	COLONIC NEOPLASM	disease	C0009375	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	2	3		1	2006	2015		0.886486486486487	C0009375
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Liver cell carcinoma	disease	C2239176	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the digestive system (25031)	1	1		1	2007	2007		0.918181818181818	C2239176
TYMS	7298	ENSG00000176890	protein-coding	0.397	0.957	0.00025709	P04818|Q53Y97	DTO_05007624	Enzyme	Colorectal Neoplasm	disease	C0009404	Digestive System Diseases (C06)|Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Abnormality of the digestive system (25031)|Neoplasm (02664)	3	11		1	2004	2015		0.906882591093117	C0009404
ESR1	2099	ENSG00000091831	protein-coding	0.297	0.957	0.99791	A0A125SXW3|H0Y4W6|P03372|Q9UBT1|A8KAF4|G4XH65	DTO_00102000	Nuclear receptor	Neoplasm, Prostatic	disease	C0033578	Neoplasms (C04)|Urogenital Diseases (C12)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the genitourinary system (00119)	3	2		1	2005	2006		0.893258426966292	C0033578
EGFR	1956	ENSG00000146648	protein-coding	0.265	0.957	0.98131	F2YGG7|B7Z2I3|Q504U8|P00533|E7BSV0|C9JYS6	DTO_03300101	Kinase	Squamous cell carcinoma	disease	C0007137	Neoplasms (C04)	Neoplastic Process (T191)	disease of cellular proliferation (14566)	Abnormality of the integument (01574)|Neoplasm (02664)	28	5		1	2003	2017		0.892074198988196	C0007137
ABCB1	5243	ENSG00000085563	protein-coding	0.326	0.957	1.7784e-05	A4D1D2|P08183	DTO_05007405	Transporter	Carcinoma, Non Small Cell Lung	disease	C0007131	Neoplasms (C04)|Respiratory Tract Diseases (C08)	Neoplastic Process (T191)	disease of cellular proliferation (14566)|disease of anatomical entity (7)	Neoplasm (02664)|Abnormality of the respiratory system (02086)	2	1		1	2011	2011		0.846846846846847	C0007131
